# raw signal
# index,l,r,value,z
518,2,180.0,-0.0027205974693851817,1.4
519,2,185.0,-0.002591629937452647,1.4
520,2,190.0,-0.0024458128229940135,1.4
521,2,195.0,-0.002292018706626757,1.4
522,2,200.0,-0.0021374008396517173,1.4
523,2,205.0,-0.0019876504853311274,1.4
524,2,210.0,-0.0018456758951434595,1.4
525,2,215.0,-0.0017121416387270568,1.4
526,2,220.0,-0.001587641208843157,1.4
527,2,225.0,-0.0014725520221523538,1.4
528,2,230.0,-0.0013660537236241648,1.4
529,2,235.0,-0.001267116670866729,1.4
530,2,240.0,-0.0011755989737715345,1.4
531,2,245.0,-0.0010914470217795328,1.4
532,2,250.0,-0.0010141812869178088,1.4
533,2,255.0,-0.000943359934971348,1.4
534,2,260.0,-0.0008784455068917574,1.4
535,2,265.0,-0.0008185191623399036,1.4
536,2,270.0,-0.0007628456615309923,1.4
537,2,275.0,-0.0007111441962686738,1.4
538,2,280.0,-0.0006632156688778721,1.4
539,2,285.0,-0.0006189419788636581,1.4
540,2,290.0,-0.0005784648845414275,1.4
541,2,295.0,-0.0005416925822831068,1.4
542,2,300.0,-0.0005080840286352617,1.4
543,2,305.0,-0.00047710920096699405,1.4
544,2,310.0,-0.000448458551120453,1.4
545,2,315.0,-0.0004217583895816242,1.4
546,2,320.0,-0.0003965559491296052,1.4
547,2,325.0,-0.00037266745479014004,1.4
548,2,330.0,-0.0003501703790435684,1.4
549,2,335.0,-0.0003290489858612961,1.4
550,2,340.0,-0.0003092144471937336,1.4
551,2,345.0,-0.00029073766283915407,1.4
552,2,350.0,-0.0002737193807178269,1.4
553,2,355.0,-0.0002580295370637882,1.4
554,2,360.0,-0.00024336945172594862,1.4
555,2,365.0,-0.0002295094854166295,1.4
556,2,370.0,-0.000216370065068017,1.4
557,2,375.0,-0.00020396098562252006,1.4
558,2,380.0,-0.00019235921984731724,1.4
559,2,385.0,-0.00018163656180105923,1.4
560,4,40.0,0.004488087757181566,1.4
561,4,45.0,0.003860071430995656,1.4
562,4,50.0,0.003355799043344148,1.4
563,4,55.0,0.002944482452819691,1.4
564,4,60.0,0.002604255543151775,1.4
565,4,65.0,0.0023192142172993075,1.4
566,4,70.0,0.0020781789362436117,1.4
567,4,75.0,0.001872343747636501,1.4
568,4,80.0,0.0016952591041264663,1.4
569,4,85.0,0.001541801166414311,1.4
570,4,90.0,0.001407862197381608,1.4
571,4,95.0,0.0012902931897579583,1.4
572,4,100.0,0.0011864294056033115,1.4
573,4,105.0,0.0010940641885286164,1.4
574,4,110.0,0.0010116266850623023,1.4
575,4,115.0,0.0009379987418332216,1.4
576,4,120.0,0.0008727809460022144,1.4
577,4,125.0,0.0008168016549640874,1.4
578,4,130.0,0.0007717202311746754,1.4
579,4,135.0,0.000737672964533347,1.4
580,4,140.0,0.0007086350497099515,1.4
581,4,145.0,0.0006739079970496144,1.4
582,4,150.0,0.0006273955177044003,1.4
583,4,155.0,0.0005726935208130654,1.4
584,4,160.0,0.0005183635412413612,1.4
585,4,165.0,0.00047112189072951127,1.4
586,4,170.0,0.0004334665492035886,1.4
587,4,175.0,0.0004047056563867414,1.4
588,4,180.0,0.0003827830838559783,1.4
589,4,185.0,0.00036564012133585703,1.4
590,4,190.0,0.00035169043719380957,1.4
591,4,195.0,0.0003398258400731662,1.4
592,4,200.0,0.00032924177542895014,1.4
593,4,205.0,0.0003193657144931483,1.4
594,4,210.0,0.0003099009655748103,1.4
595,4,215.0,0.0003007427488767079,1.4
596,4,220.0,0.0002918069966889034,1.4
597,4,225.0,0.0002830385577347015,1.4
598,4,230.0,0.00027446941056925877,1.4
599,4,235.0,0.00026614006860719663,1.4
600,4,240.0,0.0002580278878141061,1.4
601,4,245.0,0.00025010921887579676,1.4
602,4,250.0,0.00024239203301422473,1.4
603,4,255.0,0.00023488108222109705,1.4
604,4,260.0,0.00022758781660163203,1.4
605,4,265.0,0.00022054780035814752,1.4
606,4,270.0,0.0002137801126568959,1.4
607,4,275.0,0.0002072721109658576,1.4
608,4,280.0,0.00020100802766906737,1.4
609,4,285.0,0.00019496883177613683,1.4
610,4,290.0,0.00018912094290893732,1.4
611,4,295.0,0.00018345099031720813,1.4
612,4,300.0,0.0001779771463484191,1.4
613,4,305.0,0.0001727148908810694,1.4
614,4,310.0,0.0001676637401296773,1.4
615,4,315.0,0.00016282802781229723,1.4
616,4,320.0,0.0001582170789035744,1.4
617,4,325.0,0.00015382134339438216,1.4
618,4,330.0,0.00014961521000409985,1.4
619,4,335.0,0.00014558226404577163,1.4
620,4,340.0,0.00014171266153847558,1.4
621,4,345.0,0.00013798693638332325,1.4
